=== RACE CONDITION LOG - EXECUÇÃO 0 ===
Iniciado em: 2025-08-05 22:29:00.000000
Formato: Timestamp | Thread | Operação | Tipo | ID | Valor_Antigo | Valor_Novo | Detalhes
2025-08-05 22:29:01.604688 | Thread_5 | WRITE_CONTADOR | CONTADOR | 0 | 13.00 | 14.00 | Escrita do contador global incrementado
2025-08-05 22:29:01.623145 | Thread_3 | READ_PRECO | PRECO | 4 | 14.00 | 14.00 | Leitura de preço para modificação
2025-08-05 22:29:01.623189 | Thread_4 | READ_PRECO | PRECO | 4 | 14.00 | 14.00 | Leitura de preço para modificação
2025-08-05 22:29:01.625024 | Thread_5 | READ_CONTADOR | CONTADOR | 0 | 14.00 | 14.00 | Leitura do contador global
2025-08-05 22:29:01.631833 | Thread_2 | WRITE_QUANTIDADE | VOLUME | 9 | 0.00 | 105.00 | Atualização de quantidade
2025-08-05 22:29:01.631893 | Thread_0 | WRITE_QUANTIDADE | VOLUME | 9 | 0.00 | 103.00 | Atualização de quantidade
2025-08-05 22:29:01.632095 | Thread_1 | WRITE_QUANTIDADE | VOLUME | 9 | 103.00 | 104.00 | Atualização de quantidade
2025-08-05 22:29:01.665221 | Thread_5 | WRITE_CONTADOR | CONTADOR | 0 | 14.00 | 15.00 | Escrita do contador global incrementado
2025-08-05 22:29:01.681984 | Thread_2 | WRITE_TIPO | TIPO | 9 | 78.00 | 67.00 | Atualização de tipo
2025-08-05 22:29:01.682060 | Thread_0 | WRITE_TIPO | TIPO | 9 | 78.00 | 67.00 | Atualização de tipo
2025-08-05 22:29:01.682179 | Thread_1 | WRITE_TIPO | TIPO | 9 | 67.00 | 86.00 | Atualização de tipo
2025-08-05 22:29:01.683348 | Thread_3 | WRITE_PRECO | PRECO | 4 | 14.00 | 14.10 | Escrita de preço modificado
2025-08-05 22:29:01.683436 | Thread_4 | WRITE_PRECO | PRECO | 4 | 14.10 | 14.10 | Escrita de preço modificado
2025-08-05 22:29:01.685347 | Thread_5 | READ_CONTADOR | CONTADOR | 0 | 15.00 | 15.00 | Leitura do contador global
2025-08-05 22:29:01.713517 | Thread_3 | READ_VOLUME | VOLUME | 4 | 1000.00 | 1000.00 | Leitura de volume para modificação
2025-08-05 22:29:01.713652 | Thread_4 | READ_VOLUME | VOLUME | 4 | 1000.00 | 1000.00 | Leitura de volume para modificação
2025-08-05 22:29:01.725488 | Thread_5 | WRITE_CONTADOR | CONTADOR | 0 | 15.00 | 16.00 | Escrita do contador global incrementado
2025-08-05 22:29:01.732157 | Thread_2 | WRITE_INDICE | CONTADOR | 0 | 9.00 | 10.00 | Incremento de índice
2025-08-05 22:29:01.732253 | Thread_1 | WRITE_INDICE | CONTADOR | 0 | 10.00 | 11.00 | Incremento de índice
2025-08-05 22:29:01.732302 | Thread_0 | WRITE_INDICE | CONTADOR | 0 | 9.00 | 10.00 | Incremento de índice
2025-08-05 22:29:01.745633 | Thread_5 | READ_CONTADOR | CONTADOR | 0 | 16.00 | 16.00 | Leitura do contador global
2025-08-05 22:29:01.773790 | Thread_3 | WRITE_VOLUME | VOLUME | 4 | 1000.00 | 1010.00 | Escrita de volume modificado
2025-08-05 22:29:01.773867 | Thread_4 | WRITE_VOLUME | VOLUME | 4 | 1000.00 | 1010.00 | Escrita de volume modificado
2025-08-05 22:29:01.782310 | Thread_2 | WRITE_ARRAY | ORDEM | 12 | 12.00 | 2004.00 | Escrita na posição do array
2025-08-05 22:29:01.782354 | Thread_1 | WRITE_ARRAY | ORDEM | 12 | 2004.00 | 1004.00 | Escrita na posição do array
2025-08-05 22:29:01.782404 | Thread_0 | WRITE_ARRAY | ORDEM | 12 | 1004.00 | 4.00 | Escrita na posição do array
2025-08-05 22:29:01.785834 | Thread_5 | WRITE_CONTADOR | CONTADOR | 0 | 16.00 | 17.00 | Escrita do contador global incrementado
2025-08-05 22:29:01.803940 | Thread_3 | WRITE_OPERACOES | CONTADOR | 4 | 0.00 | 1.00 | Incremento de operações
2025-08-05 22:29:01.803987 | Thread_4 | WRITE_OPERACOES | CONTADOR | 4 | 0.00 | 1.00 | Incremento de operações
2025-08-05 22:29:01.805954 | Thread_5 | READ_CONTADOR | CONTADOR | 0 | 17.00 | 17.00 | Leitura do contador global
2025-08-05 22:29:01.832417 | Thread_2 | WRITE_PRECO | PRECO | 12 | 0.00 | 10.24 | Atualização de preço
2025-08-05 22:29:01.832470 | Thread_1 | WRITE_PRECO | PRECO | 12 | 0.00 | 10.14 | Atualização de preço
2025-08-05 22:29:01.832489 | Thread_0 | WRITE_PRECO | PRECO | 12 | 10.24 | 10.04 | Atualização de preço
2025-08-05 22:29:01.834097 | Thread_3 | READ_PRECO | PRECO | 5 | 15.00 | 15.00 | Leitura de preço para modificação
2025-08-05 22:29:01.834131 | Thread_4 | READ_PRECO | PRECO | 5 | 15.00 | 15.00 | Leitura de preço para modificação
2025-08-05 22:29:01.846101 | Thread_5 | WRITE_CONTADOR | CONTADOR | 0 | 17.00 | 18.00 | Escrita do contador global incrementado
2025-08-05 22:29:01.866260 | Thread_5 | READ_CONTADOR | CONTADOR | 0 | 18.00 | 18.00 | Leitura do contador global
2025-08-05 22:29:01.882533 | Thread_2 | WRITE_QUANTIDADE | VOLUME | 12 | 0.00 | 106.00 | Atualização de quantidade
2025-08-05 22:29:01.882585 | Thread_0 | WRITE_QUANTIDADE | VOLUME | 12 | 0.00 | 104.00 | Atualização de quantidade
2025-08-05 22:29:01.882606 | Thread_1 | WRITE_QUANTIDADE | VOLUME | 12 | 0.00 | 105.00 | Atualização de quantidade
2025-08-05 22:29:01.894250 | Thread_3 | WRITE_PRECO | PRECO | 5 | 15.00 | 15.10 | Escrita de preço modificado
2025-08-05 22:29:01.894306 | Thread_4 | WRITE_PRECO | PRECO | 5 | 15.00 | 15.10 | Escrita de preço modificado
2025-08-05 22:29:01.906615 | Thread_5 | WRITE_CONTADOR | CONTADOR | 0 | 18.00 | 19.00 | Escrita do contador global incrementado
2025-08-05 22:29:01.924460 | Thread_3 | READ_VOLUME | VOLUME | 5 | 1000.00 | 1000.00 | Leitura de volume para modificação
2025-08-05 22:29:01.924573 | Thread_4 | READ_VOLUME | VOLUME | 5 | 1000.00 | 1000.00 | Leitura de volume para modificação
2025-08-05 22:29:01.926810 | Thread_5 | READ_CONTADOR | CONTADOR | 0 | 19.00 | 19.00 | Leitura do contador global
2025-08-05 22:29:01.932654 | Thread_2 | WRITE_TIPO | TIPO | 12 | 78.00 | 67.00 | Atualização de tipo
2025-08-05 22:29:01.932742 | Thread_0 | WRITE_TIPO | TIPO | 12 | 78.00 | 67.00 | Atualização de tipo
2025-08-05 22:29:01.932799 | Thread_1 | WRITE_TIPO | TIPO | 12 | 78.00 | 86.00 | Atualização de tipo
2025-08-05 22:29:01.967033 | Thread_5 | WRITE_CONTADOR | CONTADOR | 0 | 19.00 | 20.00 | Escrita do contador global incrementado
2025-08-05 22:29:01.982848 | Thread_2 | WRITE_INDICE | CONTADOR | 0 | 12.00 | 13.00 | Incremento de índice
2025-08-05 22:29:01.982884 | Thread_1 | WRITE_INDICE | CONTADOR | 0 | 13.00 | 14.00 | Incremento de índice
